function,belief_name,type,file,is_f9_relay
F1,HarmonicStability,Core,Musical_Intelligence.brain.functions.f1.beliefs.bch.harmonic_stability,False
F1,IntervalQuality,Appraisal,Musical_Intelligence.brain.functions.f1.beliefs.bch.interval_quality,False
F1,HarmonicTemplateMatch,Appraisal,Musical_Intelligence.brain.functions.f1.beliefs.bch.harmonic_template_match,False
F1,ConsonanceTrajectory,Anticipation,Musical_Intelligence.brain.functions.f1.beliefs.bch.consonance_trajectory,False
F1,ConsonanceSalienceGradient,Appraisal,Musical_Intelligence.brain.functions.f1.beliefs.csg.consonance_salience_gradient,False
F1,TimbralCharacter,Core,Musical_Intelligence.brain.functions.f1.beliefs.miaa.timbral_character,False
F1,ImageryRecognition,Anticipation,Musical_Intelligence.brain.functions.f1.beliefs.miaa.imagery_recognition,False
F1,MelodicContourTracking,Appraisal,Musical_Intelligence.brain.functions.f1.beliefs.mpg.melodic_contour_tracking,False
F1,ContourContinuation,Anticipation,Musical_Intelligence.brain.functions.f1.beliefs.mpg.contour_continuation,False
F1,SpectralComplexity,Appraisal,Musical_Intelligence.brain.functions.f1.beliefs.sded.spectral_complexity,False
F1,AestheticQuality,Core,Musical_Intelligence.brain.functions.f1.beliefs.stai.aesthetic_quality,False
F1,SpectralTemporalSynergy,Appraisal,Musical_Intelligence.brain.functions.f1.beliefs.stai.spectral_temporal_synergy,False
F1,RewardResponsePred,Anticipation,Musical_Intelligence.brain.functions.f1.beliefs.stai.reward_response_pred,False
F1,PitchProminence,Core,Musical_Intelligence.brain.functions.f1.beliefs.pscl.pitch_prominence,False
F1,PitchContinuation,Anticipation,Musical_Intelligence.brain.functions.f1.beliefs.pscl.pitch_continuation,False
F1,PitchIdentity,Core,Musical_Intelligence.brain.functions.f1.beliefs.pccr.pitch_identity,False
F1,OctaveEquivalence,Appraisal,Musical_Intelligence.brain.functions.f1.beliefs.pccr.octave_equivalence,False
F2,PredictionHierarchy,Core,Musical_Intelligence.brain.functions.f2.beliefs.htp.prediction_hierarchy,False
F2,PredictionAccuracy,Core,Musical_Intelligence.brain.functions.f2.beliefs.htp.prediction_accuracy,False
F2,HierarchyCoherence,Appraisal,Musical_Intelligence.brain.functions.f2.beliefs.htp.hierarchy_coherence,False
F2,AbstractFuture,Anticipation,Musical_Intelligence.brain.functions.f2.beliefs.htp.abstract_future,False
F2,MidlevelFuture,Anticipation,Musical_Intelligence.brain.functions.f2.beliefs.htp.midlevel_future,False
F2,SequenceMatch,Core,Musical_Intelligence.brain.functions.f2.beliefs.sph.sequence_match,False
