claim_id,source,polarity,channel,rho,p,verdict
C-R3EXT-01,Science/datasets/consonance/marjieh2024/data-csv/rating_dyh3dd.csv,1,roughness,-0.8352,0.0003802080801851202,PASS
C-R3EXT-01,Science/datasets/consonance/marjieh2024/data-csv/rating_dyh3dd.csv,1,sethares_dissonance,-0.8132,0.0007236077236996984,PASS
C-R3EXT-01,Science/datasets/consonance/marjieh2024/data-csv/rating_dyh3dd.csv,1,helmholtz_kang,0.3681,0.21585718064938147,PASS
C-R3EXT-01,Science/datasets/consonance/marjieh2024/data-csv/rating_dyh3dd.csv,1,stumpf_fusion,0.8132,0.0007236077236996984,PASS
C-R3EXT-01,Science/datasets/consonance/marjieh2024/data-csv/rating_dyh3dd.csv,1,sensory_pleasantness,0.8901,4.5654374407446995e-05,PASS
C-R3EXT-01,Science/datasets/consonance/marjieh2024/data-csv/rating_dyh3dd.csv,1,inharmonicity,-0.8132,0.0007236077236996984,PASS
C-R3EXT-01,Science/datasets/consonance/marjieh2024/data-csv/rating_dyh3dd.csv,1,harmonic_deviation,0.1264,0.680785475070949,PASS
C-R3EXT-02,Science/datasets/consonance/marjieh2024/data-csv/rating_flute_harmonic_harflt.csv,1,roughness,-0.7747,0.0018713615028719075,PASS
C-R3EXT-02,Science/datasets/consonance/marjieh2024/data-csv/rating_flute_harmonic_harflt.csv,1,sethares_dissonance,-0.7967,0.0011136526522685867,PASS
C-R3EXT-02,Science/datasets/consonance/marjieh2024/data-csv/rating_flute_harmonic_harflt.csv,1,helmholtz_kang,0.2582,0.39428401739736163,PASS
C-R3EXT-02,Science/datasets/consonance/marjieh2024/data-csv/rating_flute_harmonic_harflt.csv,1,stumpf_fusion,0.533,0.06073650306561788,PASS
C-R3EXT-02,Science/datasets/consonance/marjieh2024/data-csv/rating_flute_harmonic_harflt.csv,1,sensory_pleasantness,0.7692,0.0021122295993498776,PASS
C-R3EXT-02,Science/datasets/consonance/marjieh2024/data-csv/rating_flute_harmonic_harflt.csv,1,inharmonicity,-0.533,0.06073650306561788,PASS
C-R3EXT-02,Science/datasets/consonance/marjieh2024/data-csv/rating_flute_harmonic_harflt.csv,1,harmonic_deviation,0.4505,0.12233188767803567,PASS
C-R3EXT-03,Science/datasets/consonance/marjieh2024/data-csv/rating_guitar_harmonic_hargtr.csv,1,roughness,-0.533,0.06073650306561788,PARTIAL
C-R3EXT-03,Science/datasets/consonance/marjieh2024/data-csv/rating_guitar_harmonic_hargtr.csv,1,sethares_dissonance,-0.5495,0.05177062555916269,PARTIAL
C-R3EXT-03,Science/datasets/consonance/marjieh2024/data-csv/rating_guitar_harmonic_hargtr.csv,1,helmholtz_kang,0.2253,0.4593051427250058,PARTIAL
C-R3EXT-03,Science/datasets/consonance/marjieh2024/data-csv/rating_guitar_harmonic_hargtr.csv,1,stumpf_fusion,0.4396,0.13286024415692976,PARTIAL
C-R3EXT-03,Science/datasets/consonance/marjieh2024/data-csv/rating_guitar_harmonic_hargtr.csv,1,sensory_pleasantness,0.5989,0.03055411417293786,PARTIAL
C-R3EXT-03,Science/datasets/consonance/marjieh2024/data-csv/rating_guitar_harmonic_hargtr.csv,1,inharmonicity,-0.4396,0.13286024415692976,PARTIAL
C-R3EXT-03,Science/datasets/consonance/marjieh2024/data-csv/rating_guitar_harmonic_hargtr.csv,1,harmonic_deviation,0.2967,0.3249215884859752,PARTIAL
C-R3EXT-04,Science/datasets/consonance/marjieh2024/data-csv/rating_piano_harmonic_harpno.csv,1,roughness,-0.7363,0.004107709360574614,PASS
C-R3EXT-04,Science/datasets/consonance/marjieh2024/data-csv/rating_piano_harmonic_harpno.csv,1,sethares_dissonance,-0.5824,0.03674133435865427,PASS
C-R3EXT-04,Science/datasets/consonance/marjieh2024/data-csv/rating_piano_harmonic_harpno.csv,1,helmholtz_kang,0.1484,0.6286094178894162,PASS
C-R3EXT-04,Science/datasets/consonance/marjieh2024/data-csv/rating_piano_harmonic_harpno.csv,1,stumpf_fusion,0.6154,0.02516711655189929,PASS
C-R3EXT-04,Science/datasets/consonance/marjieh2024/data-csv/rating_piano_harmonic_harpno.csv,1,sensory_pleasantness,0.6923,0.008730317796749324,PASS
C-R3EXT-04,Science/datasets/consonance/marjieh2024/data-csv/rating_piano_harmonic_harpno.csv,1,inharmonicity,-0.6154,0.02516711655189929,PASS
C-R3EXT-04,Science/datasets/consonance/marjieh2024/data-csv/rating_piano_harmonic_harpno.csv,1,harmonic_deviation,0.4725,0.10298105029992852,PASS
C-R3EXT-05,Science/datasets/consonance/marjieh2024/data-csv/pure_dyad_purdyrt.csv,1,roughness,-0.7253,0.005023237655349918,PARTIAL
C-R3EXT-05,Science/datasets/consonance/marjieh2024/data-csv/pure_dyad_purdyrt.csv,1,sethares_dissonance,-0.3242,0.2798818688931399,PARTIAL
C-R3EXT-05,Science/datasets/consonance/marjieh2024/data-csv/pure_dyad_purdyrt.csv,1,helmholtz_kang,0.1703,0.5779754288392673,PARTIAL
C-R3EXT-05,Science/datasets/consonance/marjieh2024/data-csv/pure_dyad_purdyrt.csv,1,stumpf_fusion,0.4505,0.12233188767803567,PARTIAL
C-R3EXT-05,Science/datasets/consonance/marjieh2024/data-csv/pure_dyad_purdyrt.csv,1,sensory_pleasantness,0.3571,0.23092986230203402,PARTIAL
C-R3EXT-05,Science/datasets/consonance/marjieh2024/data-csv/pure_dyad_purdyrt.csv,1,inharmonicity,-0.4505,0.12233188767803567,PARTIAL
C-R3EXT-05,Science/datasets/consonance/marjieh2024/data-csv/pure_dyad_purdyrt.csv,1,harmonic_deviation,-0.522,0.06729171199351015,PARTIAL
C-R3EXT-06,Science/datasets/consonance/bidelman2009_ffr.csv,1,roughness,-0.8857,0.01884548104956266,PASS
C-R3EXT-06,Science/datasets/consonance/bidelman2009_ffr.csv,1,sethares_dissonance,-0.9429,0.004804664723032055,PASS
C-R3EXT-06,Science/datasets/consonance/bidelman2009_ffr.csv,1,helmholtz_kang,0.0857,0.8717434402332361,PASS
C-R3EXT-06,Science/datasets/consonance/bidelman2009_ffr.csv,1,stumpf_fusion,1.0,0.0,PASS
C-R3EXT-06,Science/datasets/consonance/bidelman2009_ffr.csv,1,sensory_pleasantness,1.0,0.0,PASS
C-R3EXT-06,Science/datasets/consonance/bidelman2009_ffr.csv,1,inharmonicity,-1.0,0.0,PASS
C-R3EXT-06,Science/datasets/consonance/bidelman2009_ffr.csv,1,harmonic_deviation,0.0286,0.9571545189504373,PASS
C-R3EXT-07,Science/datasets/consonance/schwartz2003_speech_harmonics.csv,1,roughness,-0.8132,0.0007236077236996984,PASS
C-R3EXT-07,Science/datasets/consonance/schwartz2003_speech_harmonics.csv,1,sethares_dissonance,-0.7692,0.0021122295993498776,PASS
C-R3EXT-07,Science/datasets/consonance/schwartz2003_speech_harmonics.csv,1,helmholtz_kang,0.2857,0.34400021825867,PASS
C-R3EXT-07,Science/datasets/consonance/schwartz2003_speech_harmonics.csv,1,stumpf_fusion,0.9231,6.851685949643363e-06,PASS
C-R3EXT-07,Science/datasets/consonance/schwartz2003_speech_harmonics.csv,1,sensory_pleasantness,0.8791,7.54456235935913e-05,PASS
C-R3EXT-07,Science/datasets/consonance/schwartz2003_speech_harmonics.csv,1,inharmonicity,-0.9231,6.851685949643363e-06,PASS
C-R3EXT-07,Science/datasets/consonance/schwartz2003_speech_harmonics.csv,1,harmonic_deviation,0.2253,0.4593051427250058,PASS
C-R3EXT-08,Science/datasets/consonance/sethares1993_dissonance.csv,-1,roughness,-0.8132,0.0007236077236996984,PASS
C-R3EXT-08,Science/datasets/consonance/sethares1993_dissonance.csv,-1,sethares_dissonance,-0.7692,0.0021122295993498776,PASS
C-R3EXT-08,Science/datasets/consonance/sethares1993_dissonance.csv,-1,helmholtz_kang,0.2857,0.34400021825867,PASS
C-R3EXT-08,Science/datasets/consonance/sethares1993_dissonance.csv,-1,stumpf_fusion,0.9231,6.851685949643363e-06,PASS
C-R3EXT-08,Science/datasets/consonance/sethares1993_dissonance.csv,-1,sensory_pleasantness,0.8791,7.54456235935913e-05,PASS
C-R3EXT-08,Science/datasets/consonance/sethares1993_dissonance.csv,-1,inharmonicity,-0.9231,6.851685949643363e-06,PASS
C-R3EXT-08,Science/datasets/consonance/sethares1993_dissonance.csv,-1,harmonic_deviation,0.2253,0.4593051427250058,PASS
C-R3EXT-09,Science/datasets/consonance/interval_tension/data/indian_tension_ratings.csv,-1,roughness,-0.5245,0.08001937592027475,PARTIAL
C-R3EXT-09,Science/datasets/consonance/interval_tension/data/indian_tension_ratings.csv,-1,sethares_dissonance,-0.3986,0.19933549461780894,PARTIAL
C-R3EXT-09,Science/datasets/consonance/interval_tension/data/indian_tension_ratings.csv,-1,helmholtz_kang,0.3636,0.2452650007307772,PARTIAL
C-R3EXT-09,Science/datasets/consonance/interval_tension/data/indian_tension_ratings.csv,-1,stumpf_fusion,0.8042,0.0016147689860699299,PARTIAL
C-R3EXT-09,Science/datasets/consonance/interval_tension/data/indian_tension_ratings.csv,-1,sensory_pleasantness,0.5804,0.04785597684206057,PARTIAL
C-R3EXT-09,Science/datasets/consonance/interval_tension/data/indian_tension_ratings.csv,-1,inharmonicity,-0.8042,0.0016147689860699299,PARTIAL
C-R3EXT-09,Science/datasets/consonance/interval_tension/data/indian_tension_ratings.csv,-1,harmonic_deviation,0.4056,0.19083587400450033,PARTIAL
