semitone,mean_rating,r3_roughness,r3_sethares_dissonance,r3_helmholtz_kang,r3_stumpf_fusion,r3_sensory_pleasantness,r3_inharmonicity,r3_harmonic_deviation
0,4.050980392156863,0.1445287,0.14193462,0.9791209,0.96954024,0.90265524,0.030459771,0.93685836
1,3.166015625,0.47141227,0.44829074,0.73001885,0.60062265,0.5712747,0.39937732,0.8189907
2,3.4068522483940042,0.8904625,0.7781744,0.28152528,0.35186487,0.27384132,0.64813507,0.8722059
3,3.994047619047619,0.17289242,0.4361064,0.44783652,0.48821053,0.53362036,0.5117895,0.93124896
4,4.476293103448276,0.13362253,0.26171702,0.5294057,0.94331783,0.8202969,0.056682218,0.28953516
5,4.421166306695464,0.1372201,0.2586158,0.53822863,0.9341654,0.8184967,0.06583462,0.33231202
6,4.172549019607843,0.14831644,0.19968642,0.4561063,0.3956804,0.6384603,0.60431963,0.28758088
7,4.583333333333333,0.13821197,0.16363549,0.8984781,0.95233953,0.8827545,0.047660477,0.28784373
8,4.397177419354839,0.13776547,0.14113076,0.97011024,0.96402633,0.90093225,0.03597363,0.28727174
9,4.46530612244898,0.15099739,0.14996357,0.97626173,0.9214513,0.8786024,0.0785487,0.90423006
10,4.254901960784314,0.14703216,0.14409326,0.9807637,0.92097414,0.8819336,0.079025835,0.85340714
11,4.12593984962406,0.14596881,0.14251992,0.98622984,0.9518101,0.89521194,0.048189823,0.9045363
12,4.31237721021611,0.1459572,0.14128727,0.97545105,0.9458116,0.8935524,0.054188434,0.2946576
