region_idx,region_name,is_brainstem,status,r_mi_point,r_ceiling_point,ceiling_ci_lo,ceiling_ci_hi,efficiency_capped,p_null,mean_best_lag_tr,n_valid_subjects,verdict
0,A1_HG,False,OK,0.5087905158414078,0.5047686273944528,0.4010625295341015,0.5973585441708564,1.0,0.0001999600079984003,0.47058823529411764,17,AT_CEILING
1,STG,False,OK,0.37474685048260886,0.3136566766090661,0.16668295487761497,0.44219236373901366,1.0,0.0001999600079984003,0.5882352941176471,17,AT_CEILING
2,STS,False,OK,0.12370657180562349,0.09750367362168766,-0.08160245679318905,0.2578159891068935,1.0,0.07658468306338732,0.4117647058823529,17,AT_CEILING
3,IFG,False,OK,0.21127113721793941,0.04331829680690237,-0.09038352724164724,0.15271878875792022,1.0,0.0001999600079984003,0.5882352941176471,17,EXCEEDS
4,dlPFC,False,OK,0.11139221916717722,0.15464312210790646,0.01580901041161269,0.27653039693832393,0.7203179659645662,0.1269746050789842,0.29411764705882354,17,AT_CEILING
5,vmPFC,False,OK,-0.04014485986165806,0.10497261463992734,-0.06201107716187835,0.25454065799713127,-0.3824317418343944,0.41351729654069186,0.23529411764705882,17,AT_FLOOR
6,OFC,False,OK,0.12241137906264243,0.21496668857677834,0.09000523909926415,0.3266094766557216,0.5694434792343257,0.1249750049990002,0.6470588235294118,17,AT_CEILING
7,ACC,False,OK,0.10924596914036573,-0.036489533913275016,-0.12286044843494892,0.04303042832762001,nan,0.0001999600079984003,0.5882352941176471,17,EXCEEDS
8,SMA,False,OK,0.32665012150967193,0.2249956980643251,0.11179770082235337,0.34694588035345064,1.0,0.0001999600079984003,0.35714285714285715,14,AT_CEILING
9,PMC,False,OK,0.20113183211612104,0.05259562310052942,0.002381179900839925,0.09935135226696727,1.0,0.0001999600079984003,0.9411764705882353,17,EXCEEDS
10,AG,False,OK,-0.0407879291571946,-0.08031728582011684,-0.13364778719842435,-0.022695811185985883,nan,0.009598080383923215,1.411764705882353,17,AT_FLOOR
11,TP,False,OK,-0.05034204546013871,0.2003645615807613,0.06688155122101307,0.3180628113448619,-0.251252242726802,0.4993001399720056,0.7647058823529411,17,AT_FLOOR
12,VTA,False,OK,0.20012257682087708,0.14764485520779927,0.052032146509736775,0.24078827202320097,1.0,0.0001999600079984003,1.2941176470588236,17,AT_CEILING
13,NAcc,False,OK,-0.036258514941541045,0.10963802135378538,-0.04123470550402999,0.24821976460516412,-0.3307111391999704,0.4479104179164167,1.0,17,AT_FLOOR
14,caudate,False,OK,0.17221972404341887,0.09371251261759864,0.012416140479035677,0.1661403812468052,1.0,0.0001999600079984003,1.411764705882353,17,EXCEEDS
15,amygdala,False,OK,0.02573815911427739,0.011992118463273208,-0.11748691610991954,0.12249061316251751,1.0,0.3385322935412917,1.3529411764705883,17,AT_CEILING
16,hippocampus,False,OK,0.06554186420782977,0.18093701474205634,0.09397119320929051,0.270166552811861,0.3622357995751516,0.2731453709258148,0.5294117647058824,17,BELOW_CEILING
17,putamen,False,OK,0.06893404677543115,0.05858898368995935,-0.047411073371767996,0.14820540137588972,1.0,0.016396720655868825,0.17647058823529413,17,AT_CEILING
18,MGB,False,OK,0.36387120760430697,0.2649822942610131,0.19472769796848297,0.34263945296406745,1.0,0.0001999600079984003,0.29411764705882354,17,EXCEEDS
19,hypothalamus,False,OK,0.16777074115280674,0.13530999721124312,0.04452002318575978,0.22124970667064184,1.0,0.0001999600079984003,1.2941176470588236,17,AT_CEILING
20,insula,False,OK,0.2424439041075814,0.1482509306958996,0.05239765271544457,0.24773181416094295,1.0,0.1275744851029794,0.4117647058823529,17,AT_CEILING
21,IC,True,OK,0.1819541395961877,0.06422879968527713,-0.07998163439333439,0.18538957051932806,1.0,0.0001999600079984003,1.588235294117647,17,AT_CEILING
22,AN,True,OK,0.002133009370734861,0.15768919385047864,0.07812539637088775,0.23918456062674515,0.01352666798942093,0.9822035592881424,0.7058823529411765,17,BELOW_CEILING
23,CN,True,OK,0.31165831080466594,0.22933725932197993,0.09579739421606064,0.35405253544449794,1.0,0.022195560887822437,0.7058823529411765,17,AT_CEILING
24,SOC,True,OK,0.34690422425314665,0.24895504189189802,0.13402350358664988,0.37358577623963346,1.0,0.0001999600079984003,1.3529411764705883,17,AT_CEILING
25,PAG,True,OK,0.2620591441427116,0.2610941457830645,0.12899324111640453,0.3834582343697548,1.0,0.0005998800239952009,1.0588235294117647,17,AT_CEILING
