interval,ratio,semitones,mean_rating,sd,n_subjects,source
P1,1:1,0,6.52,0.71,30,Bowling_Purves_2018_PNAS
m2,16:15,1,2.13,1.22,30,Bowling_Purves_2018_PNAS
M2,9:8,2,2.87,1.35,30,Bowling_Purves_2018_PNAS
m3,6:5,3,4.38,1.18,30,Bowling_Purves_2018_PNAS
M3,5:4,4,5.23,0.95,30,Bowling_Purves_2018_PNAS
P4,4:3,5,5.47,0.88,30,Bowling_Purves_2018_PNAS
TT,45:32,6,2.65,1.41,30,Bowling_Purves_2018_PNAS
P5,3:2,7,5.83,0.79,30,Bowling_Purves_2018_PNAS
m6,8:5,8,4.12,1.28,30,Bowling_Purves_2018_PNAS
M6,5:3,9,4.73,1.15,30,Bowling_Purves_2018_PNAS
m7,16:9,10,3.15,1.32,30,Bowling_Purves_2018_PNAS
M7,15:8,11,2.48,1.38,30,Bowling_Purves_2018_PNAS
P8,2:1,12,6.15,0.82,30,Bowling_Purves_2018_PNAS
