vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2023-02-16 16:59:36,False,,,Response,1,untitled,,InfoPage,,31.205.206.237,,Response,_Response
{},2,2023-02-16 16:59:39,False,,,Response,1,consent_form,['I agree'],ModularPage,,31.205.206.237,"{'time_taken': 2.307, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T16:59:37.316Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T16:59:37.369Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T16:59:37.382Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T16:59:37.393Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T16:59:37.394Z', 'info': None}], 'prompt': {'text': '<div>\n  <h1>Consent form</h1>\n  <p>\n    <em>Please read the following text and select ‘Agree’ if you consent to these terms.</em>\n  </p>\n  <p>\n        I have been informed about the procedures to be used in this experiment and the tasks I need to perform, and I\n        have agreed to take part. I understand that taking part in this experiment is voluntary and I can withdraw from\n        the experiment at any time.\n        </p>\n  <p>\n        I understand that the data collected in this testing session will be stored on electronic media or on paper and\n        it may contribute to scientific publications and presentations. I agree that the data can be made available\n        anonymously for other researchers, both inside and outside the Centre for Music and Science and Faculty of\n        Music. These data will not be linked to me as an individual.\n        </p>\n</div>'}, 'control': {'name': 'checkboxes', 'choices': ['I agree'], 'labels': ['I agree'], 'force_selection': True}}",Response,_Response
{},3,2023-02-16 16:59:46,False,,,Response,1,untitled,,InfoPage,,31.205.206.237,"{'time_taken': 6.177, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 10, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T16:59:40.412Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T16:59:40.438Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T16:59:40.443Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T16:59:40.453Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T16:59:40.454Z', 'info': None}], 'content': 'This experiment requires you to wear headphones. Please ensure you have plugged yours in now.'}",Response,_Response
{},4,2023-02-16 17:00:02,False,,,Response,2,untitled,,InfoPage,,92.238.254.178,,Response,_Response
{},5,2023-02-16 17:00:08,False,,,Response,2,consent_form,['I agree'],ModularPage,,92.238.254.178,"{'time_taken': 4.933, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:00:03.856Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:00:03.892Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:00:03.897Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:00:03.906Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:00:03.907Z', 'info': None}], 'prompt': {'text': '<div>\n  <h1>Consent form</h1>\n  <p>\n    <em>Please read the following text and select ‘Agree’ if you consent to these terms.</em>\n  </p>\n  <p>\n        I have been informed about the procedures to be used in this experiment and the tasks I need to perform, and I\n        have agreed to take part. I understand that taking part in this experiment is voluntary and I can withdraw from\n        the experiment at any time.\n        </p>\n  <p>\n        I understand that the data collected in this testing session will be stored on electronic media or on paper and\n        it may contribute to scientific publications and presentations. I agree that the data can be made available\n        anonymously for other researchers, both inside and outside the Centre for Music and Science and Faculty of\n        Music. These data will not be linked to me as an individual.\n        </p>\n</div>'}, 'control': {'name': 'checkboxes', 'choices': ['I agree'], 'labels': ['I agree'], 'force_selection': True}}",Response,_Response
{},6,2023-02-16 17:00:48,False,,,Response,2,untitled,,InfoPage,,92.238.254.178,"{'time_taken': 38.909, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:00:10.024Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:00:10.077Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:00:10.082Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:00:10.091Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:00:10.092Z', 'info': None}], 'content': 'This experiment requires you to wear headphones. Please ensure you have plugged yours in now.'}",Response,_Response
{},7,2023-02-16 17:01:10,False,,,Response,2,volume_calibration,,ModularPage,,92.238.254.178,,Response,_Response
{},8,2023-02-16 17:01:17,False,,,Response,2,untitled,,InfoPage,,92.238.254.178,"{'time_taken': 4.568, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:12.909Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:12.958Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:12.964Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:12.974Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:12.975Z', 'info': None}], 'content': ""\n            We will now perform a short listening test to verify that your audio is working properly.\n            This test will be difficult to pass unless you listen carefully over your headphones.\n            Press 'Next' when you are ready to start.\n            ""}",Response,_Response
{},9,2023-02-16 17:01:26,False,,,Response,2,headphone_trial,1,ModularPage,,92.238.254.178,"{'time_taken': 8.217, 'platform': 'Chrome 109.0.0.0 on Windows 10 64-bit', 'download_speed_megabits_per_sec': 9, 'event_log': [{'eventType': 'trialConstruct', 'localTime': '2023-02-16T17:01:18.734Z', 'info': None}, {'eventType': 'trialPrepare', 'localTime': '2023-02-16T17:01:20.486Z', 'info': None}, {'eventType': 'trialStart', 'localTime': '2023-02-16T17:01:20.486Z', 'info': None}, {'eventType': 'promptStart', 'localTime': '2023-02-16T17:01:20.497Z', 'info': None}, {'eventType': 'audioFinished: prompt', 'localTime': '2023-02-16T17:01:24.515Z', 'info': None}, {'eventType': 'promptEnd', 'localTime': '2023-02-16T17:01:24.515Z', 'info': None}, {'eventType': 'responseEnable', 'localTime': '2023-02-16T17:01:24.516Z', 'info': None}, {'eventType': 'submitEnable', 'localTime': '2023-02-16T17:01:24.517Z', 'info': None}, {'eventType': 'trialFinish', 'localTime': '2023-02-16T17:01:24.518Z', 'info': None}, {'eventType': 'trialFinished', 'localTime': '2023-02-16T17:01:24.523Z', 'info': None}, {'eventType': 'pushButtonClicked', 'localTime': '2023-02-16T17:01:26.920Z', 'info': {'buttonId': '1'}}], 'prompt': {'text': 'Which sound was softest (quietest) -- 1, 2, or 3?', 'url': 'https://s3.amazonaws.com/headphone-check/antiphase_HC_SIO.wav', 'play_window': [None, None]}, 'control': {'choices': ['1', '2', '3'], 'labels': ['1', '2', '3']}}",Response,_Response
{},10,2023-02-16 17:01:27,False,,,Response,3,untitled,,InfoPage,,86.18.68.159,,Response,_Response
