function,mechanism,dataset,metric,dim_or_belief,raw_p,n,within_mech_q,global_bh_q,global_bh_reject_05,bonferroni_reject_05
f3,aacm,groove_midi,spearman_rho,aesthetic_engagement,0.0156,,,0.0213129,1,0
f3,aacm,groove_midi,spearman_rho,savoring_effect,0.0076,,,0.0109639,1,0
f3,aacm,groove_midi,spearman_rho,aesthetic_engagement,0.0,,,0,1,1
f3,aacm,groove_midi,spearman_rho,savoring_effect,0.0,,,0,1,1
f3,amss,groove_midi,spearman_rho,stream_segregation,0.0005,,,0.00100945,1,0
f3,amss,groove_midi,spearman_rho,stream_coherence,0.2617,,,0.293481,0,0
f3,amss,groove_midi,spearman_rho,perceptual_organization,0.0209,,,0.0279664,1,0
f3,amss,groove_midi,spearman_rho,segregation_forecast,0.0139,,,0.0191301,1,0
f3,amss,groove_midi,spearman_rho,stream_prediction,0.0009,,,0.00169786,1,0
f3,amss,groove_midi,spearman_rho,stream_segregation,0.0025,,,0.00399146,1,0
f3,amss,groove_midi,spearman_rho,stream_coherence,0.0025,,,0.00399146,1,0
f3,amss,groove_midi,spearman_rho,perceptual_organization,0.0005,,,0.00100945,1,0
f3,amss,groove_midi,spearman_rho,segregation_forecast,0.3374,,,0.372785,0,0
f3,amss,groove_midi,spearman_rho,stream_prediction,0.0025,,,0.00399146,1,0
f3,barm,groove_midi,spearman_rho,beat_resource,0.0122,,,0.0169937,1,0
f3,barm,groove_midi,spearman_rho,temporal_attention,0.0002,,,0.000452648,1,0
f3,barm,groove_midi,spearman_rho,resource_efficiency,0.0007,,,0.00134602,1,0
f3,barm,groove_midi,spearman_rho,resource_forecast,0.0099,,,0.014025,1,0
f3,barm,groove_midi,spearman_rho,phase_prediction,0.0012,,,0.00206345,1,0
f3,barm,groove_midi,spearman_rho,beat_resource,0.0362,,,0.0455852,1,0
f3,barm,groove_midi,spearman_rho,temporal_attention,0.0,,,0,1,1
f3,barm,groove_midi,spearman_rho,resource_efficiency,0.0,,,0,1,1
f3,barm,groove_midi,spearman_rho,resource_forecast,0.0362,,,0.0455852,1,0
f3,barm,groove_midi,spearman_rho,phase_prediction,0.0,,,0,1,1
f3,dgtp,groove_midi,spearman_rho,dynamic_gain,0.0023,,,0.00374815,1,0
f3,dgtp,groove_midi,spearman_rho,temporal_prediction,0.0407,,,0.050909,0,0
f3,dgtp,groove_midi,spearman_rho,gain_modulation,0.0053,,,0.00797666,1,0
f3,dgtp,groove_midi,spearman_rho,gain_forecast,0.0262,,,0.0341124,1,0
f3,dgtp,groove_midi,spearman_rho,prediction_update,0.0219,,,0.029226,1,0
f3,dgtp,groove_midi,spearman_rho,dynamic_gain,0.0,,,0,1,1
f3,dgtp,groove_midi,spearman_rho,temporal_prediction,0.7017,,,0.736662,0,0
f3,dgtp,groove_midi,spearman_rho,gain_modulation,0.0713,,,0.0854686,0,0
f3,dgtp,groove_midi,spearman_rho,gain_forecast,0.0005,,,0.00100945,1,0
f3,dgtp,groove_midi,spearman_rho,prediction_update,0.0068,,,0.00994409,1,0
f3,etam,groove_midi,spearman_rho,entrainment_tapping,0.2194,,,0.248465,0,0
f3,etam,groove_midi,spearman_rho,tapping_accuracy,0.0959,,,0.113233,0,0
f3,etam,groove_midi,spearman_rho,attention_allocation,0.7181,,,0.752295,0,0
f3,etam,groove_midi,spearman_rho,tapping_forecast,0.005,,,0.00754032,1,0
