family,mech,dim,p,column,source
f1,f1/bch,E0:nps,0.9149,p,V1/results/f1/bch/report.md
f1,f1/bch,E0:nps,0.9174,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,E1:harmonicity,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,E1:harmonicity,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,E2:hierarchy,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,E2:hierarchy,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,E3:ffr_behavior,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,E3:ffr_behavior,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,M0:consonance_memory,0.0004,p,V1/results/f1/bch/report.md
f1,f1/bch,M0:consonance_memory,0.001,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,M1:pitch_memory,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,M1:pitch_memory,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,M2:tonal_memory,0.0015,p,V1/results/f1/bch/report.md
f1,f1/bch,M2:tonal_memory,0.0028,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,M3:spectral_memory,0.0008,p,V1/results/f1/bch/report.md
f1,f1/bch,M3:spectral_memory,0.002,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,P0:consonance_signal,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,P0:consonance_signal,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,P1:template_match,0.0017,p,V1/results/f1/bch/report.md
f1,f1/bch,P1:template_match,0.003,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,P2:neural_pitch,0.0001,p,V1/results/f1/bch/report.md
f1,f1/bch,P2:neural_pitch,0.0002,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,P3:tonal_context,0.0015,p,V1/results/f1/bch/report.md
f1,f1/bch,P3:tonal_context,0.0028,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,F0:consonance_forecast,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,F0:consonance_forecast,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,F1:pitch_forecast,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,F1:pitch_forecast,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,F2:tonal_forecast,0.0015,p,V1/results/f1/bch/report.md
f1,f1/bch,F2:tonal_forecast,0.0028,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,F3:interval_forecast,0.0001,p,V1/results/f1/bch/report.md
f1,f1/bch,F3:interval_forecast,0.0002,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,harmonic_stability,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,harmonic_stability,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,interval_quality,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,interval_quality,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,harmonic_template_match,0.0017,p,V1/results/f1/bch/report.md
f1,f1/bch,harmonic_template_match,0.003,p(perm),V1/results/f1/bch/report.md
f1,f1/bch,consonance_trajectory,0.0,p,V1/results/f1/bch/report.md
f1,f1/bch,consonance_trajectory,0.0,p(perm),V1/results/f1/bch/report.md
f1,f1/csg,E0:salience_activation,0.0001,p,V1/results/f1/csg/report.md
f1,f1/csg,E0:salience_activation,0.0,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,E1:sensory_evidence,0.0325,p,V1/results/f1/csg/report.md
f1,f1/csg,E1:sensory_evidence,0.0366,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,E2:consonance_valence,0.0001,p,V1/results/f1/csg/report.md
f1,f1/csg,E2:consonance_valence,0.0,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,M0:salience_response,0.0002,p,V1/results/f1/csg/report.md
f1,f1/csg,M0:salience_response,0.0002,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,M1:rt_valence_judgment,0.9716,p,V1/results/f1/csg/report.md
f1,f1/csg,M1:rt_valence_judgment,0.977,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,M2:aesthetic_appreciation,0.0,p,V1/results/f1/csg/report.md
f1,f1/csg,M2:aesthetic_appreciation,0.0,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,P0:salience_network,0.0006,p,V1/results/f1/csg/report.md
f1,f1/csg,P0:salience_network,0.0002,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,P1:affective_evaluation,0.0001,p,V1/results/f1/csg/report.md
f1,f1/csg,P1:affective_evaluation,0.0,p(perm),V1/results/f1/csg/report.md
f1,f1/csg,P2:sensory_load,0.0,p,V1/results/f1/csg/report.md
