model,term,beta,se,t,p,ci_lo,ci_hi
M0_null_controls,Intercept,-4.163336342344337e-16,0.025449807500331108,-1.635900916849831e-14,0.9999999999999869,-0.049941031063872696,0.04994103106387186
M0_null_controls,valence_z,0.32201353145990486,0.035442938349377374,9.085407318255307,5.386958565626338e-19,0.25246263662197194,0.3915644262978378
M0_null_controls,arousal_z,-0.06620321134578883,0.03512550353412954,-1.8847619161235016,0.05975120622276196,-0.1351311929468008,0.0027247702552231357
M0_null_controls,dissonance_z,-0.38232847600038966,0.02773635864021442,-13.784378871062724,1.0388713757164764e-39,-0.43675648487360524,-0.3279004671271741
M0_null_controls,spectralcentroid_z,0.2005143395286881,0.027693068777494136,7.24059659620114,8.888617018421578e-13,0.14617127983942355,0.25485739921795264
M0_null_controls,spectralcomplexity_z,0.24831966768744146,0.02647068765446249,9.380929990520256,4.2340568164496505e-20,0.19637532844572528,0.3002640069291576
M0_null_controls,Leman6_z,-0.1521038004266512,0.027683490562482104,-5.494386630304093,4.9720333554958446e-08,-0.20642806445573458,-0.09777953639756781
M1_additive_IC_ENTROPY,Intercept,-4.163336342344337e-16,0.023282346759519876,-1.788194457090971e-14,0.9999999999999858,-0.04568785893955834,0.045687858939557506
M1_additive_IC_ENTROPY,IC_z,-0.30505337242368435,0.02590376737180005,-11.776409510061402,4.512051791162635e-30,-0.35588534747800354,-0.25422139736936517
M1_additive_IC_ENTROPY,ENTROPY_z,-0.1977151842305107,0.02377032685468217,-8.317730986167136,2.9103268231962126e-16,-0.24436062558147098,-0.15106974287955044
M1_additive_IC_ENTROPY,valence_z,0.31188461360544806,0.03257609971725159,9.574031769072736,7.781456743992997e-21,0.24795926002938717,0.37580996718150894
M1_additive_IC_ENTROPY,arousal_z,-0.08144563341173196,0.032177436660938974,-2.5311411306606946,0.011521531697628174,-0.1445886748923089,-0.01830259193115502
M1_additive_IC_ENTROPY,dissonance_z,-0.2673307330821716,0.02686458071641115,-9.951048032507108,2.610555084792331e-22,-0.3200481497120007,-0.2146133164523425
M1_additive_IC_ENTROPY,spectralcentroid_z,0.10976808252808064,0.0261600989152979,4.196011753758716,2.9580278881579862e-05,0.05843309806830706,0.1611030669878542
M1_additive_IC_ENTROPY,spectralcomplexity_z,0.21533410367663797,0.024330068220439004,8.850534315219958,3.8871617561537316e-18,0.1675902599684979,0.263077947384778
M1_additive_IC_ENTROPY,Leman6_z,-0.17090370404314614,0.025421055804704468,-6.722919195650339,2.9891713136611e-11,-0.22078843532458672,-0.12101897276170556
M2_interaction_IC_x_ENTROPY,Intercept,0.001475116606490627,0.022888697279405307,0.06444738153874319,0.9486268966838193,-0.043440323056218776,0.04639055626920003
M2_interaction_IC_x_ENTROPY,IC_z,-0.36359322976203995,0.027278592829625047,-13.328885109028466,2.009634610219999e-37,-0.4171231434729908,-0.3100633160510891
M2_interaction_IC_x_ENTROPY,ENTROPY_z,-0.18022011556827333,0.023549239199705422,-7.652906068002728,4.617877878748908e-14,-0.22643176402800436,-0.1340084671085423
M2_interaction_IC_x_ENTROPY,IC_z:ENTROPY_z,-0.15776474656807904,0.026362813879779092,-5.984366740497621,3.0243475864975895e-09,-0.2094975892765139,-0.10603190385964417
M2_interaction_IC_x_ENTROPY,valence_z,0.2870859712620743,0.032290459625144784,8.89073660129999,2.785506657525929e-18,0.22372106354059706,0.35045087898355154
M2_interaction_IC_x_ENTROPY,arousal_z,-0.061611042223374504,0.03180472767122335,-1.9371661615930027,0.053006671933690436,-0.12402277799267436,0.0008006935459253517
M2_interaction_IC_x_ENTROPY,dissonance_z,-0.2602614243898139,0.0264352397037157,-9.845245486963826,6.855229965683946e-22,-0.31213639129541637,-0.2083864574842115
M2_interaction_IC_x_ENTROPY,spectralcentroid_z,0.10608376048475768,0.025723670539664234,4.123974466287126,4.0334257787959894e-05,0.055605135252237516,0.15656238571727785
M2_interaction_IC_x_ENTROPY,spectralcomplexity_z,0.2076025596512165,0.023952185999858006,8.667374228492013,1.75995976027873e-17,0.160600191978915,0.25460492732351797
M2_interaction_IC_x_ENTROPY,Leman6_z,-0.16645926088332524,0.025000829962121815,-6.658149394861045,4.5682700647528485e-11,-0.21551942608074426,-0.11739909568590623
M3_MI_Eq5_composite,Intercept,-4.163336342344337e-16,0.02395073959367112,-1.7382913483993122e-14,0.9999999999999861,-0.0469994154232853,0.046999415423284466
M3_MI_Eq5_composite,mi_reward_z,-0.29039485567378215,0.0254346178129175,-11.417307616326717,1.813882928084917e-28,-0.340306139792861,-0.24048357155470326
M3_MI_Eq5_composite,valence_z,0.3136080508113867,0.03336336952279839,9.399771524788198,3.5985090606462903e-20,0.24813788618495003,0.3790782154378234
M3_MI_Eq5_composite,arousal_z,-0.09065177102508726,0.033125793594523986,-2.736591676405086,0.00631784594966821,-0.1556557316871799,-0.025647810362994627
M3_MI_Eq5_composite,dissonance_z,-0.29512707692478113,0.027197054020792207,-10.851435478973416,5.158745283215033e-26,-0.3484968543052886,-0.24175729954427366
M3_MI_Eq5_composite,spectralcentroid_z,0.1795234147749286,0.026126634301948035,6.871279809720578,1.1168995616168506e-11,0.12825416129876552,0.2307926682510917
M3_MI_Eq5_composite,spectralcomplexity_z,0.21982041909595162,0.02503623210285395,8.78009191610321,6.95677842577077e-18,0.17069090187858985,0.26894993631331343
M3_MI_Eq5_composite,Leman6_z,-0.15824725510178095,0.02605840825953879,-6.072790537536147,1.7828552008724813e-09,-0.20938262611066832,-0.10711188409289356
