pair_id,test,rho,p_perm,ci_lo,ci_hi,n,anchor_id,shuffled_mech
R1,spearman,-0.27875417130144603,0.1317365269461078,-0.6064712298591406,0.13056739078297436,30,5,VMM
R2,spearman,0.08609566184649611,0.6407185628742516,-0.27054161555397493,0.43977708850504255,30,2,CDEM
R3,spearman,-0.3067853170189099,0.08582834331337326,-0.6358403618400639,0.08823890288299956,30,5,HTP
R4,spearman,0.34060066740823136,0.06187624750499002,-0.05135631707890791,0.675725748069498,30,4,MIAA
R5,spearman,0.16796440489432704,0.3812375249500998,-0.18956268115314226,0.5161531672702401,30,2,MPG
R6,spearman,0.09543937708565071,0.6327345309381237,-0.28086334615002195,0.4643342404741226,30,4,CSG
R7,spearman,-0.021538461538461538,0.9161676646706587,-0.49930097223688874,0.4179902459562823,25,3,BCH
R8,spearman,0.08476084538375972,0.6287425149700598,-0.2833564903073953,0.45623228476741795,30,4,CSG
R9,spearman,0.36106785317018913,0.06187624750499002,0.008715083798882682,0.653378745117246,30,6,ECT
R10,spearman,-0.04076923076923076,0.8363273453093812,-0.4331410328360645,0.3576738180064407,25,3,BCH
R11,spearman,0.1746153846153846,0.3532934131736527,-0.2580836177412707,0.5820551569281418,25,3,PNH
R12,spearman,-0.26176470588235295,0.31736526946107785,-0.7878157323829077,0.3225344650791842,16,1,CSG
R13,spearman,0.06470588235294117,0.8303393213572854,-0.44566526774777,0.5454082829659586,16,1,ECT
R14,spearman,-0.1992307692307692,0.3093812375249501,-0.5538133213574076,0.19250031269264098,25,3,BCH
R15,spearman,0.19733036707452725,0.2894211576846307,-0.20625455428710224,0.5148798016352876,30,5,SRP
R16,spearman,0.09117647058823529,0.7005988023952096,-0.4526241774570152,0.6207450190758792,16,1,ECT
R17,spearman,-0.196440489432703,0.27345309381237526,-0.548426425827194,0.2152659376096875,30,4,CDEM
R18,spearman,-0.2623076923076923,0.1656686626746507,-0.6602694146045623,0.1933225073295581,25,3,PCCR
R19,spearman,-0.14660734149054505,0.44510978043912175,-0.44967534177916324,0.1993669450563372,30,5,TPRD
R20,spearman,-0.07497219132369298,0.6946107784431138,-0.4775538646546722,0.3715327678940896,30,6,TPRD
R21,spearman,0.15294117647058825,0.5768463073852296,-0.43676581325301195,0.6756696428571428,16,1,HTP
R22,spearman,0.0058823529411764705,0.9900199600798403,-0.5077808383991892,0.5322638457888441,16,1,AACM
R23,spearman,-0.07230255839822024,0.6906187624750499,-0.41635387503392346,0.2993692737636832,30,2,CSG
R24,spearman,-0.21290322580645163,0.26147704590818366,-0.5162329407639394,0.12821212530786322,30,5,ECT
