subject,status,reason,tr_start,anchor_r,n_trs_mendelssohn,MI_amyg_pearson_r,MI_amyg_spearman_rho,MI_amyg_CI_lo,MI_amyg_CI_hi,MI_amyg_CI_lo_spearman,MI_amyg_CI_hi_spearman,MI_PMC_pearson_r,MI_PMC_spearman_rho,MI_PMC_CI_lo,MI_PMC_CI_hi,MI_PMC_CI_lo_spearman,MI_PMC_CI_hi_spearman,baseline_RMS_rho,baseline_spflux_rho,baseline_onset_rho,baseline_entropy_rho
sub-01,ok,,740,0.465930,80,-0.277406,-0.277205,-0.419767,-0.127035,-0.458427,-0.089036,0.099697,0.095098,-0.135666,0.338495,-0.114099,0.319718,0.080052,0.223724,0.244604,0.121459
sub-02,ok,,817,0.604664,80,-0.125729,-0.154086,-0.373876,0.039848,-0.408585,-0.002046,-0.058389,-0.042387,-0.332014,0.217497,-0.332110,0.232132,-0.078826,-0.208686,-0.116685,0.174640
sub-03,ok,,702,0.429462,80,0.402121,0.401193,-0.011665,0.567705,0.009067,0.561513,-0.195836,-0.192828,-0.386037,0.106883,-0.394678,0.123124,-0.259375,-0.430010,-0.393376,-0.185073
sub-05,ok,,841,0.538679,80,0.329972,0.310956,-0.066052,0.496716,-0.085899,0.476052,-0.313445,-0.310913,-0.526464,-0.000655,-0.522809,0.065496,-0.157702,-0.395410,-0.261595,-0.110599
sub-06,ok,,689,0.484370,80,0.061614,0.093551,-0.304549,0.354308,-0.266238,0.350558,-0.561536,-0.622879,-0.730071,-0.308441,-0.726384,-0.229488,0.024735,-0.105525,-0.119340,0.024347
sub-07,ok,,668,0.444142,80,-0.216823,-0.236092,-0.384782,-0.046784,-0.382887,-0.043775,-0.436107,-0.515254,-0.566799,-0.151650,-0.620317,-0.197202,0.068215,0.230698,0.171727,0.209617
sub-08,ok,,324,0.410168,80,-0.011969,-0.034170,-0.251160,0.234221,-0.291034,0.187059,0.110323,0.070575,-0.110857,0.239713,-0.177830,0.204930,0.015697,0.024211,0.117939,-0.016720
sub-09,ok,,0,0.684296,80,0.075118,0.037203,-0.243764,0.242875,-0.230976,0.211180,0.005389,0.497062,-0.178861,0.742748,0.186366,0.750762,-0.142845,-0.160689,-0.160150,-0.003606
sub-11,ok,,666,0.409666,80,-0.047455,-0.077125,-0.319403,0.283940,-0.373288,0.226388,-0.153372,-0.143919,-0.358626,0.158612,-0.376267,0.214151,-0.099700,0.064175,0.006505,0.132568
sub-12,ok,,320,0.628424,80,0.005390,-0.002716,-0.369062,0.448687,-0.301130,0.420911,0.032475,0.193819,-0.369172,0.463940,-0.180209,0.525961,0.048522,0.174819,0.149176,-0.132317
sub-13,ok,,548,0.429867,80,0.114418,0.026714,-0.318913,0.313065,-0.303262,0.295239,0.308176,0.243145,-0.019438,0.371083,-0.012647,0.338134,-0.098888,0.218211,0.095190,-0.137492
sub-14,ok,,678,0.493557,80,0.243913,0.289024,0.050696,0.645727,-0.046599,0.564235,0.251096,0.344527,0.048328,0.670433,0.032154,0.629514,-0.093951,-0.362108,-0.155232,-0.257582
sub-15,ok,,172,0.350969,80,-0.209557,-0.171728,-0.410312,0.129076,-0.401442,0.169254,0.087876,0.062994,-0.085887,0.371198,-0.104681,0.361154,0.350791,0.259264,0.179720,0.078686
sub-17,ok,,813,0.423231,80,0.012385,-0.022254,-0.391978,0.271282,-0.406542,0.229635,0.011085,0.014495,-0.211002,0.166208,-0.194124,0.170978,-0.127469,-0.089484,-0.174555,0.021702
sub-18,ok,,1,0.492680,80,-0.325708,-0.186509,-0.430409,0.032739,-0.324647,0.038115,-0.535513,-0.496467,-0.634799,-0.096134,-0.625149,-0.082801,0.053510,0.091498,0.056570,0.197601
sub-19,ok,,0,0.390395,80,-0.036050,-0.075507,-0.309534,0.114892,-0.313886,0.125007,-0.120046,-0.220421,-0.459790,0.065828,-0.445672,0.046296,-0.079207,0.001081,0.079387,0.100973
sub-20,ok,,215,0.447708,80,-0.019780,0.006288,-0.258763,0.315181,-0.298246,0.351409,0.312606,0.297528,-0.231801,0.527245,-0.284195,0.568155,-0.048723,-0.039560,0.008611,-0.029752
