subject,status,max_amyg_tr_start,max_amyg_pearson_r,max_amyg_spearman_rho,max_PMC_tr_start,max_PMC_pearson_r,max_PMC_spearman_rho
sub-01,ok,0,0.665751,0.633471,454,0.361636,0.374713
sub-02,ok,68,0.622831,0.622979,654,0.416854,0.379627
sub-03,ok,0,0.591298,0.568634,671,0.374599,0.357849
sub-05,ok,495,0.585449,0.588468,716,0.655861,0.655586
sub-06,ok,42,0.543362,0.558573,33,0.770663,0.702348
sub-07,ok,490,0.523494,0.628927,768,0.548707,0.483103
sub-08,ok,556,0.590351,0.542019,756,0.467907,0.439175
sub-09,ok,837,0.582643,0.610096,753,0.758520,0.718296
sub-11,ok,360,0.565464,0.631701,156,0.662301,0.631627
sub-12,ok,39,0.729539,0.666804,760,0.783356,0.714538
sub-13,ok,175,0.638473,0.639016,103,0.392302,0.338780
sub-14,ok,457,0.663366,0.688992,457,0.745683,0.651777
sub-15,ok,548,0.537283,0.569883,302,0.525948,0.559444
sub-17,ok,709,0.755011,0.693038,193,0.618638,0.664645
sub-18,ok,475,0.502478,0.464152,786,0.438535,0.399578
sub-19,ok,363,0.546549,0.496407,133,0.486924,0.433075
sub-20,ok,296,0.640892,0.622686,493,0.767012,0.732783
