region,mni_x,mni_y,mni_z,r_A_mean,rho_A_mean,r_B_peak_hrf,rho_B_peak_hrf,delta_r
A1_HG,50,-22,6,-0.1767,-0.1616,-0.013,-0.1773,0.1637
STG,62,-22,6,-0.0797,-0.1309,0.0874,-0.0513,0.1672
STS,54,-36,4,0.0141,-0.0168,0.1895,-0.0139,0.1754
IFG,-46,20,12,0.0386,0.007,0.0121,-0.025,-0.0265
dlPFC,-42,34,28,-0.0584,-0.0053,0.2247,0.1865,0.2831
vmPFC,0,48,-8,-0.1306,-0.1719,0.0391,-0.0219,0.1697
OFC,30,32,-14,-0.0988,-0.0756,0.1716,0.1629,0.2704
ACC,0,20,32,-0.033,-0.0596,0.1035,-0.0859,0.1365
SMA,0,0,60,nan,nan,nan,nan,nan
PMC,46,0,48,0.204,0.1814,0.0583,0.231,-0.1457
AG,-48,-60,28,-0.0765,-0.1502,-0.1984,-0.0324,-0.1219
TP,42,14,-28,-0.0667,0.034,-0.0798,-0.0364,-0.013
VTA,0,-16,-14,0.0814,0.0785,0.2455,0.2309,0.1641
NAcc,10,10,-8,-0.2342,-0.2307,-0.0417,-0.1206,0.1925
caudate,12,10,10,-0.0132,0.011,-0.0622,-0.0689,-0.049
amygdala,24,-4,-18,0.5904,0.542,-0.0127,0.2894,-0.6031
hippocampus,24,-14,-16,0.0942,0.0771,0.182,0.1844,0.0878
putamen,24,4,2,0.0407,-0.022,-0.0394,-0.1302,-0.0801
MGB,14,-26,-6,-0.2207,-0.2466,-0.0566,-0.2085,0.1641
hypothalamus,4,-2,-12,-0.2319,-0.2061,0.203,0.0614,0.4349
insula,36,12,-4,-0.2996,-0.3085,0.0498,-0.297,0.3494
IC,6,-34,-10,-0.2184,-0.162,-0.0719,-0.0813,0.1465
AN,10,-36,-44,-0.3313,-0.3155,-0.2323,-0.2276,0.0989
CN,8,-44,-44,-0.1857,-0.1756,-0.0986,-0.2663,0.0871
SOC,12,-36,-38,0.3054,0.3401,0.0101,0.2307,-0.2953
PAG,4,-30,-10,0.0379,0.0762,0.0128,-0.067,-0.0251
