dataset,engine_index,engine_name,spearman_rho,p_spearman,ci95_lo,ci95_hi,pearson_r,n
marjieh2024_dyh3dd,0,roughness,-0.3956,0.1809,-0.7772,0.1987,-0.536,13
marjieh2024_dyh3dd,1,sethares_dissonance,-0.4176,0.1557,-0.7874,0.1733,-0.4646,13
marjieh2024_dyh3dd,2,helmholtz_kang,0.011,0.9716,-0.5433,0.5586,-0.0767,13
marjieh2024_dyh3dd,3,stumpf_fusion,0.2473,0.4154,-0.3516,0.7025,0.234,13
marjieh2024_dyh3dd,4,sensory_pleasantness,0.478,0.09849,-0.0991,0.8145,0.4246,13
marjieh2024_dyh3dd,5,inharmonicity,-0.2473,0.4154,-0.7025,0.3516,-0.234,13
marjieh2024_dyh3dd,6,harmonic_deviation,0.0604,0.8445,-0.5074,0.5917,0.0025,13
harrison2024_carillon,0,roughness,-0.6264,0.02199,-0.8753,-0.1151,-0.7202,13
harrison2024_carillon,1,sethares_dissonance,-0.5055,0.07803,-0.8263,0.0631,-0.5926,13
harrison2024_carillon,2,helmholtz_kang,0.1154,0.7074,-0.4652,0.6265,0.2727,13
harrison2024_carillon,3,stumpf_fusion,0.3846,0.1944,-0.2111,0.772,0.5209,13
harrison2024_carillon,4,sensory_pleasantness,0.6154,0.02517,0.0974,0.871,0.6713,13
harrison2024_carillon,5,inharmonicity,-0.3846,0.1944,-0.772,0.2111,-0.5209,13
harrison2024_carillon,6,harmonic_deviation,0.0,1.0,-0.551,0.551,0.1947,13
eerola2021_exp3,0,roughness,-0.5405,4.311e-48,-0.5941,-0.4821,-0.5517,617
eerola2021_exp3,1,sethares_dissonance,-0.4446,2.753e-31,-0.5058,-0.379,-0.4524,617
eerola2021_exp3,2,helmholtz_kang,-0.0592,0.1417,-0.1375,0.0198,0.0079,617
eerola2021_exp3,3,stumpf_fusion,0.3589,3.387e-20,0.2882,0.4258,0.3907,617
eerola2021_exp3,4,sensory_pleasantness,0.5296,6.518e-46,0.4704,0.5842,0.5235,617
eerola2021_exp3,5,inharmonicity,-0.3589,3.387e-20,-0.4258,-0.2882,-0.3907,617
eerola2021_exp3,6,harmonic_deviation,0.2898,2.111e-13,0.2158,0.3605,0.2814,617
