f0_condition,engine_index,engine_name,spearman_rho,p_spearman,ci95_lo,ci95_hi,pearson_r,n
real_lower~66Hz,0,roughness,0.2143,0.4821,-0.3818,0.6845,0.2838,13
real_lower~66Hz,1,sethares_dissonance,0.1374,0.6545,-0.4475,0.6399,0.1826,13
real_lower~66Hz,2,helmholtz_kang,0.0659,0.8305,-0.5033,0.5953,-0.0456,13
real_lower~66Hz,3,stumpf_fusion,0.2692,0.3737,-0.3308,0.7143,0.2343,13
real_lower~66Hz,4,sensory_pleasantness,0.044,0.8866,-0.5196,0.5809,0.0188,13
real_lower~66Hz,5,inharmonicity,-0.2692,0.3737,-0.7143,0.3308,-0.2343,13
real_lower~66Hz,6,harmonic_deviation,-0.1923,0.5291,-0.6721,0.4012,-0.0635,13
C4_261Hz,0,roughness,-0.6264,0.02199,-0.8753,-0.1151,-0.7154,13
C4_261Hz,1,sethares_dissonance,-0.5055,0.07803,-0.8263,0.0631,-0.5969,13
C4_261Hz,2,helmholtz_kang,0.3242,0.2799,-0.2761,0.7425,0.3675,13
C4_261Hz,3,stumpf_fusion,0.533,0.06074,-0.0255,0.8379,0.5837,13
C4_261Hz,4,sensory_pleasantness,0.5824,0.03674,0.0463,0.8581,0.6617,13
C4_261Hz,5,inharmonicity,-0.533,0.06074,-0.8379,0.0255,-0.5837,13
C4_261Hz,6,harmonic_deviation,0.3846,0.1944,-0.2111,0.772,0.4443,13
A4_440Hz,0,roughness,-0.7253,0.005023,-0.9119,-0.2903,-0.9471,13
A4_440Hz,1,sethares_dissonance,-0.6374,0.01912,-0.8795,-0.1331,-0.8568,13
A4_440Hz,2,helmholtz_kang,0.4505,0.1223,-0.1336,0.8024,0.3289,13
A4_440Hz,3,stumpf_fusion,0.5769,0.03899,0.038,0.8559,0.5571,13
A4_440Hz,4,sensory_pleasantness,0.6813,0.01034,0.2087,0.896,0.8602,13
A4_440Hz,5,inharmonicity,-0.5769,0.03899,-0.8559,-0.038,-0.5571,13
A4_440Hz,6,harmonic_deviation,0.6264,0.02199,0.1151,0.8753,0.6204,13
