f0_condition,synthesis_mode,rough_rho,stumpf_rho,rough_p,stumpf_p,rough_abs_ge_797,stumpf_abs_ge_797
real_~66Hz,REAL_DECAY,0.2198,0.3187,0.4706,0.2886,0,0
real_~66Hz,SUSTAINED,0.2198,0.3901,0.4706,0.1876,0,0
real_~66Hz,IDEALISED,0.2363,0.3571,0.4371,0.2309,0,0
C4_261Hz,REAL_DECAY,-0.6264,0.5055,0.02199,0.07803,0,0
C4_261Hz,SUSTAINED,-0.6264,0.4341,0.02199,0.1383,0,0
C4_261Hz,IDEALISED,-0.6264,0.3846,0.02199,0.1944,0,0
A4_440Hz,REAL_DECAY,-0.7253,0.5385,0.005023,0.05763,0,0
A4_440Hz,SUSTAINED,-0.7253,0.3901,0.005023,0.1876,0,0
A4_440Hz,IDEALISED,-0.7198,0.4066,0.005536,0.168,0,0
A5_880Hz,REAL_DECAY,-0.6648,0.8022,0.01317,0.0009688,0,1
A5_880Hz,SUSTAINED,-0.6758,0.8297,0.01123,0.0004503,0,1
A5_880Hz,IDEALISED,-0.6648,0.8132,0.01317,0.0007236,0,1
