study,contrast,region_label,mni_x,mni_y,mni_z,v1_match_status,coord_source,primary_citation
Blood_Zatorre_2001,chills>nochills,OFC,28.0,34.0,-16.0,MATCH,paper_peak,"Blood & Zatorre 2001, PNAS"
Blood_Zatorre_2001,chills>nochills,vmPFC,-2.0,46.0,-10.0,MATCH,paper_peak,"Blood & Zatorre 2001, PNAS"
Blood_Zatorre_2001,chills>nochills,ACC,2.0,30.0,28.0,MATCH,paper_peak,"Blood & Zatorre 2001, PNAS"
Blood_Zatorre_2001,chills>nochills,insula,-36.0,16.0,0.0,MATCH,paper_peak,"Blood & Zatorre 2001, PNAS"
Blood_Zatorre_2001,chills>nochills,SMA,2.0,-2.0,56.0,MATCH,paper_peak,"Blood & Zatorre 2001, PNAS"
Blood_Zatorre_2001,chills>nochills,VTA,0.0,-16.0,-8.0,MATCH,atlas_centroid_proxy,"Blood & Zatorre 2001, PNAS (cluster-level only; atlas proxy)"
Blood_Zatorre_2001,chills>nochills,amygdala,-24.0,-4.0,-18.0,MATCH,paper_peak,"Blood & Zatorre 2001, PNAS"
Salimpoor_2013,high>low_reward,NAcc,10.0,12.0,-8.0,MATCH,paper_peak,"Salimpoor 2013, Science"
Salimpoor_2013,high>low_reward,IFG,48.0,18.0,8.0,MATCH,paper_peak,"Salimpoor 2013, Science"
Salimpoor_2013,high>low_reward,VTA,0.0,-16.0,-8.0,MATCH,atlas_centroid_proxy,Salimpoor 2013 (cluster-level only; atlas proxy)
Salimpoor_2013,high>low_reward,STG,58.0,-22.0,4.0,MATCH,paper_peak,"Salimpoor 2013, Science"
Salimpoor_2013,high>low_reward,amygdala,24.0,-4.0,-18.0,MATCH,paper_peak,"Salimpoor 2013, Science"
Salimpoor_2013,high>low_reward,OFC,28.0,34.0,-16.0,NONMATCH,paper_peak,Salimpoor 2013 (V1: not in MI match list — this is one of the 2 non-matches)
Grahn_Brett_2007,beat>nonbeat,SMA,2.0,-2.0,56.0,MATCH,paper_peak,"Grahn & Brett 2007, JCN"
Grahn_Brett_2007,beat>nonbeat,putamen,26.0,4.0,2.0,MATCH,paper_peak,"Grahn & Brett 2007, JCN"
Grahn_Brett_2007,beat>nonbeat,STG,58.0,-22.0,4.0,MATCH,paper_peak,"Grahn & Brett 2007, JCN"
Koelsch_2005,irregular>regular,IFG,48.0,18.0,8.0,MATCH,paper_peak,"Koelsch 2005, NeuroImage"
Koelsch_2005,irregular>regular,STG,58.0,-22.0,4.0,MATCH,paper_peak,"Koelsch 2005, NeuroImage"
Brattico_2011,happy>sad,hippocampus,28.0,-22.0,-12.0,MATCH,paper_peak,"Brattico 2011, NeuroImage"
Brattico_2011,happy>sad,amygdala,24.0,-4.0,-18.0,MATCH,paper_peak,"Brattico 2011, NeuroImage"
Brattico_2011,happy>sad,STG,58.0,-22.0,4.0,MATCH,paper_peak,"Brattico 2011, NeuroImage"
Zatorre_Halpern_2005,imagery>rest,SMA,2.0,-2.0,56.0,MATCH,paper_peak,"Zatorre & Halpern 2005, NeuroImage"
Zatorre_Halpern_2005,imagery>rest,IFG,48.0,18.0,8.0,MATCH,paper_peak,"Zatorre & Halpern 2005, NeuroImage"
Zatorre_Halpern_2005,imagery>rest,A1_HG,48.0,-18.0,8.0,MATCH,paper_peak,"Zatorre & Halpern 2005, NeuroImage"
Putkinen_2025,OPI_PET,NAcc,10.0,12.0,-8.0,MATCH,v1_doc_peak,"Putkinen 2025, Eur J Nucl Med"
Putkinen_2025,OPI_PET,OFC,28.0,34.0,-16.0,MATCH,v1_doc_peak,"Putkinen 2025, Eur J Nucl Med"
Putkinen_2025,OPI_PET,insula,36.0,16.0,0.0,MATCH,v1_doc_peak,"Putkinen 2025, Eur J Nucl Med"
Putkinen_2025,OPI_PET,ACC,2.0,30.0,28.0,MATCH,v1_doc_peak,"Putkinen 2025, Eur J Nucl Med"
Putkinen_2025,OPI_PET,NAcc_b,10.0,12.0,-8.0,MATCH,v1_doc_peak,"Putkinen 2025, Eur J Nucl Med"
Putkinen_2025,OPI_PET,MGB,0.0,-18.0,6.0,MATCH,v1_doc_peak,"Putkinen 2025, Eur J Nucl Med"
Putkinen_2025,OPI_PET,amygdala,24.0,-4.0,-18.0,MATCH,v1_doc_peak,"Putkinen 2025, Eur J Nucl Med"
