study,region_label,mi_region,distance_mm,matched_at_radius,radius_mm,coord_source
Blood_Zatorre_2001,OFC,OFC,0.0,True,8.0,paper_peak
Blood_Zatorre_2001,vmPFC,vmPFC,4.0,True,8.0,paper_peak
Blood_Zatorre_2001,ACC,ACC,0.0,True,8.0,paper_peak
Blood_Zatorre_2001,insula,insula,72.0,False,8.0,paper_peak
Blood_Zatorre_2001,SMA,SMA,0.0,True,8.0,paper_peak
Blood_Zatorre_2001,VTA,VTA,0.0,True,8.0,atlas_centroid_proxy
Blood_Zatorre_2001,amygdala,amygdala,48.0,False,8.0,paper_peak
Salimpoor_2013,NAcc,NAcc,0.0,True,8.0,paper_peak
Salimpoor_2013,IFG,IFG,0.0,True,8.0,paper_peak
Salimpoor_2013,VTA,VTA,0.0,True,8.0,atlas_centroid_proxy
Salimpoor_2013,STG,STG,0.0,True,8.0,paper_peak
Salimpoor_2013,amygdala,amygdala,0.0,True,8.0,paper_peak
Salimpoor_2013,OFC,OFC,0.0,True,8.0,paper_peak
Grahn_Brett_2007,SMA,SMA,0.0,True,8.0,paper_peak
Grahn_Brett_2007,putamen,putamen,0.0,True,8.0,paper_peak
Grahn_Brett_2007,STG,STG,0.0,True,8.0,paper_peak
Koelsch_2005,IFG,IFG,0.0,True,8.0,paper_peak
Koelsch_2005,STG,STG,0.0,True,8.0,paper_peak
Brattico_2011,hippocampus,hippocampus,0.0,True,8.0,paper_peak
Brattico_2011,amygdala,amygdala,0.0,True,8.0,paper_peak
Brattico_2011,STG,STG,0.0,True,8.0,paper_peak
Zatorre_Halpern_2005,SMA,SMA,0.0,True,8.0,paper_peak
Zatorre_Halpern_2005,IFG,IFG,0.0,True,8.0,paper_peak
Zatorre_Halpern_2005,A1_HG,A1_HG,0.0,True,8.0,paper_peak
Putkinen_2025,NAcc,NAcc,0.0,True,8.0,v1_doc_peak
Putkinen_2025,OFC,OFC,0.0,True,8.0,v1_doc_peak
Putkinen_2025,insula,insula,0.0,True,8.0,v1_doc_peak
Putkinen_2025,ACC,ACC,0.0,True,8.0,v1_doc_peak
Putkinen_2025,NAcc_b,NAcc,0.0,True,8.0,v1_doc_peak
Putkinen_2025,MGB,MGB,17.204650534085253,False,8.0,v1_doc_peak
Putkinen_2025,amygdala,amygdala,0.0,True,8.0,v1_doc_peak
Blood_Zatorre_2001,OFC,OFC,0.0,True,10.0,paper_peak
Blood_Zatorre_2001,vmPFC,vmPFC,4.0,True,10.0,paper_peak
Blood_Zatorre_2001,ACC,ACC,0.0,True,10.0,paper_peak
Blood_Zatorre_2001,insula,insula,72.0,False,10.0,paper_peak
Blood_Zatorre_2001,SMA,SMA,0.0,True,10.0,paper_peak
Blood_Zatorre_2001,VTA,VTA,0.0,True,10.0,atlas_centroid_proxy
Blood_Zatorre_2001,amygdala,amygdala,48.0,False,10.0,paper_peak
Salimpoor_2013,NAcc,NAcc,0.0,True,10.0,paper_peak
Salimpoor_2013,IFG,IFG,0.0,True,10.0,paper_peak
Salimpoor_2013,VTA,VTA,0.0,True,10.0,atlas_centroid_proxy
Salimpoor_2013,STG,STG,0.0,True,10.0,paper_peak
Salimpoor_2013,amygdala,amygdala,0.0,True,10.0,paper_peak
Salimpoor_2013,OFC,OFC,0.0,True,10.0,paper_peak
Grahn_Brett_2007,SMA,SMA,0.0,True,10.0,paper_peak
Grahn_Brett_2007,putamen,putamen,0.0,True,10.0,paper_peak
Grahn_Brett_2007,STG,STG,0.0,True,10.0,paper_peak
Koelsch_2005,IFG,IFG,0.0,True,10.0,paper_peak
Koelsch_2005,STG,STG,0.0,True,10.0,paper_peak
Brattico_2011,hippocampus,hippocampus,0.0,True,10.0,paper_peak
Brattico_2011,amygdala,amygdala,0.0,True,10.0,paper_peak
Brattico_2011,STG,STG,0.0,True,10.0,paper_peak
Zatorre_Halpern_2005,SMA,SMA,0.0,True,10.0,paper_peak
Zatorre_Halpern_2005,IFG,IFG,0.0,True,10.0,paper_peak
Zatorre_Halpern_2005,A1_HG,A1_HG,0.0,True,10.0,paper_peak
Putkinen_2025,NAcc,NAcc,0.0,True,10.0,v1_doc_peak
Putkinen_2025,OFC,OFC,0.0,True,10.0,v1_doc_peak
Putkinen_2025,insula,insula,0.0,True,10.0,v1_doc_peak
Putkinen_2025,ACC,ACC,0.0,True,10.0,v1_doc_peak
Putkinen_2025,NAcc_b,NAcc,0.0,True,10.0,v1_doc_peak
Putkinen_2025,MGB,MGB,17.204650534085253,False,10.0,v1_doc_peak
