region,mni_x,mni_y,mni_z,group
A1_HG,48,-18,8,cortical
STG,58,-22,4,cortical
STS,54,-32,4,cortical
IFG,48,18,8,cortical
dlPFC,42,32,30,cortical
vmPFC,2,46,-10,cortical
OFC,28,34,-16,cortical
ACC,2,30,28,cortical
SMA,2,-2,56,cortical
PMC,46,0,48,cortical
AG,48,-60,30,cortical
TP,42,12,-32,cortical
VTA,0,-16,-8,subcortical
NAcc,10,12,-8,subcortical
caudate,12,10,10,subcortical
amygdala,24,-4,-18,subcortical
hippocampus,28,-22,-12,subcortical
putamen,26,4,2,subcortical
MGB,14,-24,-2,subcortical
hypothalamus,0,-4,-8,subcortical
insula,36,16,0,subcortical
IC,0,-34,-8,brainstem
AN,8,-26,-24,brainstem
CN,10,-38,-32,brainstem
SOC,6,-34,-24,brainstem
PAG,0,-30,-10,brainstem
