subject,encoder,D,V,top5pct_holdout_r,median_r,max_r,runtime_s
sub-001,mi_ram_26d,26,60784,0.138133704662323,-0.04295504838228226,0.4955610930919647,1.0884099006652832
sub-001,mi_naive_26d,26,60784,0.07276000082492828,-0.06318896263837814,0.2752883732318878,0.9325189590454102
sub-001,mert_768d,768,60784,0.19795571267604828,-0.0035457871854305267,0.7150344848632812,1.7599880695343018
sub-001,clap_music_512d,512,60784,0.13289715349674225,-0.007021620869636536,0.3963334858417511,1.5248091220855713
sub-001,random_26d,26,60784,0.0877763107419014,-0.03676685690879822,0.2148446887731552,0.8371152877807617
sub-001,random_768d,768,60784,0.12945279479026794,0.007773691788315773,0.2854372262954712,1.6840128898620605
sub-003,mi_ram_26d,26,64700,0.22146378457546234,-0.03291627764701843,0.5796597003936768,1.0239331722259521
sub-003,mi_naive_26d,26,64700,0.10203725099563599,-0.0656588077545166,0.38969340920448303,0.9670212268829346
sub-003,mert_768d,768,64700,0.2961432933807373,-0.00880696065723896,0.784529447555542,2.1596381664276123
sub-003,clap_music_512d,512,64700,0.16845425963401794,-0.003656422020867467,0.5140236020088196,1.6203851699829102
sub-003,random_26d,26,64700,0.086982361972332,-0.032659173011779785,0.17605850100517273,0.8881957530975342
sub-003,random_768d,768,64700,0.1275448054075241,0.0037753689102828503,0.24193072319030762,1.7727999687194824
sub-004,mi_ram_26d,26,61899,0.15382720530033112,-0.03200557082891464,0.5387033820152283,0.9388549327850342
sub-004,mi_naive_26d,26,61899,0.08286980539560318,-0.05364520475268364,0.2854476273059845,0.8657770156860352
sub-004,mert_768d,768,61899,0.18748606741428375,-0.01498294435441494,0.6814892292022705,1.71635103225708
sub-004,clap_music_512d,512,61899,0.11376094818115234,-0.026293620467185974,0.4142785668373108,1.5813348293304443
sub-004,random_26d,26,61899,0.08991023898124695,-0.03314561769366264,0.20676523447036743,0.8699100017547607
sub-004,random_768d,768,61899,0.1185927465558052,-0.00396820018067956,0.24739250540733337,1.7087781429290771
sub-005,mi_ram_26d,26,53421,0.14697697758674622,-0.035754263401031494,0.4517480731010437,0.8486518859863281
sub-005,mi_naive_26d,26,53421,0.07992301136255264,-0.04924324154853821,0.28278788924217224,0.7731621265411377
sub-005,mert_768d,768,53421,0.20205771923065186,-0.01055124495178461,0.7042298913002014,1.5831701755523682
sub-005,clap_music_512d,512,53421,0.13508974015712738,-0.018548496067523956,0.3810722827911377,1.4133059978485107
sub-005,random_26d,26,53421,0.09577822685241699,-0.024662494659423828,0.20502999424934387,0.772345781326294
sub-005,random_768d,768,53421,0.10878247022628784,-0.01139518991112709,0.22525858879089355,1.5192368030548096
