subject,encoder,D,V,cka_vs_bold
sub-001,MI-full,26,60784,0.013941288608364324
sub-001,MI-naive,26,60784,0.012877214123670109
sub-001,MERT,768,60784,0.06933939601314688
sub-001,CLAP,512,60784,0.03726922910966251
sub-001,Random-26,26,60784,0.06342162117580154
sub-003,MI-full,26,64700,0.020895388944353666
sub-003,MI-naive,26,64700,0.019081155236440026
sub-003,MERT,768,64700,0.08195852025059831
sub-003,CLAP,512,64700,0.0397789314691545
sub-003,Random-26,26,64700,0.06035241095425696
sub-004,MI-full,26,61899,0.0159530001438149
sub-004,MI-naive,26,61899,0.014861132506117657
sub-004,MERT,768,61899,0.0631693467972179
sub-004,CLAP,512,61899,0.03130738425636491
sub-004,Random-26,26,61899,0.06056838791612992
sub-005,MI-full,26,53421,0.009601486422280042
sub-005,MI-naive,26,53421,0.008586043911263693
sub-005,MERT,768,53421,0.03729741104661903
sub-005,CLAP,512,53421,0.02016902720043777
sub-005,Random-26,26,53421,0.03944355102354509
