region_idx,region,tier,encoder,D,n_clips,r_group,r_individual_mean
0,A1_HG,auditory,mi_ram_26d,26,480,-0.00495911156758666,-0.009758052416145802
1,STG,auditory,mi_ram_26d,26,480,0.08756411820650101,0.056001871824264526
2,STS,auditory,mi_ram_26d,26,480,0.006091374903917313,-0.03176691383123398
3,IFG,cortical,mi_ram_26d,26,480,0.0514979362487793,0.007009041495621204
4,dlPFC,cortical,mi_ram_26d,26,480,-0.028455710038542747,-0.023943845182657242
5,vmPFC,cortical,mi_ram_26d,26,480,0.05124089494347572,0.007489906623959541
6,OFC,cortical,mi_ram_26d,26,480,-0.022445257753133774,0.009968195110559464
7,ACC,cortical,mi_ram_26d,26,480,0.0171526987105608,-0.016640525311231613
8,SMA,cortical,mi_ram_26d,26,480,0.019042108207941055,-0.01210570614784956
9,PMC,cortical,mi_ram_26d,26,480,-0.014331911690533161,-0.010865818709135056
10,AG,cortical,mi_ram_26d,26,480,-0.03967664763331413,-0.02878800593316555
11,TP,cortical,mi_ram_26d,26,480,0.04898899421095848,0.03997565805912018
12,VTA,subcortical,mi_ram_26d,26,480,0.014851505868136883,-0.03388814628124237
13,NAcc,subcortical,mi_ram_26d,26,480,-0.027034703642129898,0.009094093926250935
14,caudate,subcortical,mi_ram_26d,26,480,-0.04596671089529991,-0.022182468324899673
15,amygdala,subcortical,mi_ram_26d,26,480,-0.05371345207095146,-0.0641423761844635
16,hippocampus,subcortical,mi_ram_26d,26,480,-0.04384420067071915,-0.0422256700694561
17,putamen,subcortical,mi_ram_26d,26,480,-0.08597838878631592,-0.029547885060310364
18,MGB,auditory,mi_ram_26d,26,480,-0.029910916462540627,0.015281958505511284
19,hypothalamus,subcortical,mi_ram_26d,26,480,-0.07887589931488037,0.017311224713921547
20,insula,cortical,mi_ram_26d,26,480,0.02416212670505047,0.012031134217977524
21,IC,brainstem_gamma,mi_ram_26d,26,480,-0.008739149197936058,-0.011800003238022327
22,AN,brainstem_gamma,mi_ram_26d,26,480,,-0.0008174522663466632
23,CN,brainstem_gamma,mi_ram_26d,26,480,,0.026758864521980286
24,SOC,brainstem_gamma,mi_ram_26d,26,480,,0.009466355666518211
25,PAG,brainstem_gamma,mi_ram_26d,26,480,0.006301032844930887,-0.040124423801898956
0,A1_HG,auditory,mi_naive_26d,26,480,-0.0185858104377985,-0.006716652773320675
1,STG,auditory,mi_naive_26d,26,480,0.02919181063771248,-0.047661520540714264
2,STS,auditory,mi_naive_26d,26,480,0.05681126192212105,-0.01735406182706356
3,IFG,cortical,mi_naive_26d,26,480,0.01566758006811142,0.001090275589376688
4,dlPFC,cortical,mi_naive_26d,26,480,0.03449321910738945,-0.014684969559311867
5,vmPFC,cortical,mi_naive_26d,26,480,0.031198257580399513,-0.030492471531033516
6,OFC,cortical,mi_naive_26d,26,480,-0.04217948019504547,-0.023362737149000168
7,ACC,cortical,mi_naive_26d,26,480,-0.033274080604314804,-0.028632834553718567
8,SMA,cortical,mi_naive_26d,26,480,0.026013921946287155,-0.010648218914866447
9,PMC,cortical,mi_naive_26d,26,480,0.021251261234283447,-0.0025665396824479103
10,AG,cortical,mi_naive_26d,26,480,0.03088448755443096,0.01737523451447487
11,TP,cortical,mi_naive_26d,26,480,-0.025002608075737953,-0.06330501288175583
12,VTA,subcortical,mi_naive_26d,26,480,0.05857333913445473,0.019163284450769424
13,NAcc,subcortical,mi_naive_26d,26,480,0.04383869841694832,-0.016855645924806595
14,caudate,subcortical,mi_naive_26d,26,480,-0.020677343010902405,-0.031184516847133636
15,amygdala,subcortical,mi_naive_26d,26,480,0.045794688165187836,-0.042895011603832245
16,hippocampus,subcortical,mi_naive_26d,26,480,-0.04652443155646324,-0.055678535252809525
17,putamen,subcortical,mi_naive_26d,26,480,-0.03354668617248535,-0.007512540556490421
18,MGB,auditory,mi_naive_26d,26,480,-0.07310125231742859,0.023447807878255844
19,hypothalamus,subcortical,mi_naive_26d,26,480,0.01747206225991249,0.018023278564214706
20,insula,cortical,mi_naive_26d,26,480,0.015173275955021381,-0.01073462050408125
21,IC,brainstem_gamma,mi_naive_26d,26,480,-0.024570196866989136,-0.05875684320926666
22,AN,brainstem_gamma,mi_naive_26d,26,480,,0.034169990569353104
23,CN,brainstem_gamma,mi_naive_26d,26,480,,-0.04924743250012398
24,SOC,brainstem_gamma,mi_naive_26d,26,480,,-0.03721819445490837
25,PAG,brainstem_gamma,mi_naive_26d,26,480,-0.07758661359548569,-0.05511416122317314
0,A1_HG,auditory,mert_768d,768,480,-0.017293725162744522,-0.0047412654384970665
1,STG,auditory,mert_768d,768,480,0.10586953908205032,0.019426390528678894
2,STS,auditory,mert_768d,768,480,-0.09723340719938278,-0.04980316758155823
3,IFG,cortical,mert_768d,768,480,-0.12003752589225769,-0.017562102526426315
4,dlPFC,cortical,mert_768d,768,480,-0.13670039176940918,-0.0536593534052372
5,vmPFC,cortical,mert_768d,768,480,-0.06077493354678154,-0.06988037377595901
6,OFC,cortical,mert_768d,768,480,-0.04268142953515053,0.013436504639685154
7,ACC,cortical,mert_768d,768,480,0.015106440521776676,-0.012197217904031277
8,SMA,cortical,mert_768d,768,480,-0.0858750268816948,-0.016711898148059845
9,PMC,cortical,mert_768d,768,480,-0.0985572338104248,-0.03253654018044472
10,AG,cortical,mert_768d,768,480,-0.2132178544998169,-0.1124933585524559
11,TP,cortical,mert_768d,768,480,-0.05917222797870636,-0.005625629797577858
12,VTA,subcortical,mert_768d,768,480,-0.08121464401483536,-0.03905431926250458
13,NAcc,subcortical,mert_768d,768,480,-0.023283014073967934,-0.014168982394039631
14,caudate,subcortical,mert_768d,768,480,0.023519065231084824,0.014527835883200169
15,amygdala,subcortical,mert_768d,768,480,-0.14188697934150696,-0.03861723095178604
16,hippocampus,subcortical,mert_768d,768,480,-0.15891315042972565,-0.05461227521300316
17,putamen,subcortical,mert_768d,768,480,-0.08903469145298004,0.010140469297766685
18,MGB,auditory,mert_768d,768,480,-0.05511260777711868,0.021378202363848686
19,hypothalamus,subcortical,mert_768d,768,480,-0.1440313756465912,-0.030471213161945343
20,insula,cortical,mert_768d,768,480,-0.008927938528358936,0.009051386266946793
21,IC,brainstem_gamma,mert_768d,768,480,-0.1405431181192398,-0.035419538617134094
22,AN,brainstem_gamma,mert_768d,768,480,,-0.03045123815536499
23,CN,brainstem_gamma,mert_768d,768,480,,-0.01782194711267948
24,SOC,brainstem_gamma,mert_768d,768,480,,-0.027695849537849426
25,PAG,brainstem_gamma,mert_768d,768,480,-0.09276097267866135,-0.021914705634117126
0,A1_HG,auditory,random_26d,26,480,-0.05227774381637573,-0.062463752925395966
1,STG,auditory,random_26d,26,480,-0.09043417870998383,-0.03696233406662941
2,STS,auditory,random_26d,26,480,-0.041788917034864426,-0.05380033329129219
3,IFG,cortical,random_26d,26,480,0.043498922139406204,0.01402251422405243
4,dlPFC,cortical,random_26d,26,480,0.007495721336454153,-0.02780386619269848
5,vmPFC,cortical,random_26d,26,480,0.04242008924484253,0.039416372776031494
6,OFC,cortical,random_26d,26,480,0.0583670474588871,0.012075414881110191
7,ACC,cortical,random_26d,26,480,0.02383052557706833,-0.011098222807049751
8,SMA,cortical,random_26d,26,480,0.03174160048365593,-0.026177074760198593
9,PMC,cortical,random_26d,26,480,0.022651785984635353,-0.03330153226852417
10,AG,cortical,random_26d,26,480,0.01817893423140049,-0.026363704353570938
11,TP,cortical,random_26d,26,480,-0.03367234393954277,0.02061106264591217
12,VTA,subcortical,random_26d,26,480,0.005288273096084595,-0.012116841040551662
13,NAcc,subcortical,random_26d,26,480,-0.012847387231886387,0.01836411841213703
14,caudate,subcortical,random_26d,26,480,0.08341051638126373,0.02060636132955551
15,amygdala,subcortical,random_26d,26,480,0.028401322662830353,-0.00032685534097254276
16,hippocampus,subcortical,random_26d,26,480,0.0524514839053154,-0.0006704693660140038
