region_idx,region,tier,observed_delta_r,bootstrap_ci95_lo,bootstrap_ci95_hi,significant_95CI,n_boot,n_subjects,ttest_p,bh_fdr_q01_reject,bh_fdr_p_adj
0,A1_HG,auditory,-0.00501678790897131,-0.028447164222598076,0.018819479271769524,False,2000,4,0.760296657272109,False,1.0
1,STG,auditory,0.03657548129558563,-0.05294797942042351,0.11435642838478088,False,2000,4,0.5322352209280429,False,1.0
2,STS,auditory,0.01803625002503395,-0.041617970913648605,0.07015371322631836,False,2000,4,0.6144291377031543,False,1.0
3,IFG,cortical,0.024571143090724945,-0.03066145069897175,0.07980373501777649,False,2000,4,0.5073590594951716,False,1.0
4,dlPFC,cortical,0.029715504497289658,-0.06641508638858795,0.11130237579345703,False,2000,4,0.5930379197522846,False,1.0
5,vmPFC,cortical,0.07737027108669281,0.02116245962679386,0.15000967681407928,True,2000,4,0.13954308691143397,False,1.0
6,OFC,cortical,-0.003468310460448265,-0.08135709166526794,0.07442047446966171,False,2000,4,0.9450066801830492,False,1.0
7,ACC,cortical,-0.004443308338522911,-0.07549023628234863,0.06660361588001251,False,2000,4,0.9260050305696191,False,1.0
8,SMA,cortical,0.004606192000210285,-0.06981929391622543,0.07084652781486511,False,2000,4,0.9233636476143607,False,1.0
9,PMC,cortical,0.02167072519659996,-0.05816599726676941,0.08971202373504639,False,2000,4,0.6692517515277436,False,1.0
10,AG,cortical,0.0837053507566452,0.03038746863603592,0.1698269546031952,True,2000,4,0.14636594360792488,False,1.0
11,TP,cortical,0.04560128599405289,-0.024970274418592453,0.11259192228317261,False,2000,4,0.3428158243725799,False,1.0
12,VTA,subcortical,0.005166171118617058,-0.066794253885746,0.044693902134895325,False,2000,4,0.8949688819512076,False,1.0
13,NAcc,subcortical,0.023263078182935715,-0.025046568363904953,0.07157272100448608,False,2000,4,0.48636329691900193,False,1.0
14,caudate,subcortical,-0.03671029955148697,-0.10777798295021057,0.03195434808731079,False,2000,4,0.4657376119340914,False,1.0
15,amygdala,subcortical,-0.02552514523267746,-0.08298983424901962,0.062339335680007935,False,2000,4,0.6088525954094862,False,1.0
16,hippocampus,subcortical,0.012386607006192207,-0.08423332870006561,0.10900654643774033,False,2000,4,0.8423556149887357,False,1.0
17,putamen,subcortical,-0.0396883562207222,-0.12059344351291656,0.03589123487472534,False,2000,4,0.48104099572448267,False,1.0
18,MGB,auditory,-0.006096243858337402,-0.11006711423397064,0.08364757895469666,False,2000,4,0.9256636178316465,False,1.0
19,hypothalamus,subcortical,0.04778243601322174,0.007467010989785194,0.08125338703393936,True,2000,4,0.10947887347085779,False,1.0
20,insula,cortical,0.0029797498136758804,-0.04784625768661499,0.04125652462244034,False,2000,4,0.9218559879927406,False,1.0
21,IC,brainstem_gamma,0.02361954003572464,-0.05709358677268028,0.08540400862693787,False,2000,4,0.6320417160522412,False,1.0
22,AN,brainstem_gamma,0.029633784666657448,-0.07251119613647461,0.10689559578895569,False,2000,4,,False,1.0
23,CN,brainstem_gamma,0.044580813497304916,0.033748943358659744,0.057014234364032745,True,2000,4,,False,1.0
24,SOC,brainstem_gamma,0.03716220334172249,-0.043928712606430054,0.10031943768262863,False,2000,4,,False,1.0
25,PAG,brainstem_gamma,-0.01820971816778183,-0.07857027649879456,0.032463036477565765,False,2000,4,0.6041435334681678,False,1.0
