region_idx,region,tier,observed_delta_r,bootstrap_ci95_lo,bootstrap_ci95_hi,significant_95CI,n_boot,n_subjects,ttest_p,bh_fdr_q01_reject,bh_fdr_p_adj
0,A1_HG,auditory,-0.0030413996428251266,-0.052556686103343964,0.06964574009180069,False,2000,4,0.9394630901751693,False,1.0
1,STG,auditory,0.10366339236497879,0.04040643200278282,0.16692036390304565,True,2000,4,0.07392841549656202,False,0.9610694014553063
2,STS,auditory,-0.014412855729460716,-0.07920126616954803,0.032458338886499405,False,2000,4,0.6986009385605394,False,1.0
3,IFG,cortical,0.005918766371905804,-0.02211625874042511,0.033953793346881866,False,2000,4,0.7564889421565437,False,1.0
4,dlPFC,cortical,-0.009258875623345375,-0.07239121943712234,0.05387347191572189,False,2000,4,0.8178359604072268,False,1.0
5,vmPFC,cortical,0.037982381880283356,-0.061255887150764465,0.13722065091133118,False,2000,4,0.5755733152693087,False,1.0
6,OFC,cortical,0.03333093225955963,-0.05706119164824486,0.12372305989265442,False,2000,4,0.5762299391960877,False,1.0
7,ACC,cortical,0.011992305517196655,-0.03875367343425751,0.07247770577669144,False,2000,4,0.7302522231829751,False,1.0
8,SMA,cortical,-0.001457488164305687,-0.0741535946726799,0.06013428047299385,False,2000,4,0.9742941191173076,False,1.0
9,PMC,cortical,-0.00829927809536457,-0.06792502105236053,0.043898358941078186,False,2000,4,0.8271736724451325,False,1.0
10,AG,cortical,-0.04616323858499527,-0.0842883437871933,0.007055837661027908,False,2000,4,0.20382630258039516,False,1.0
11,TP,cortical,0.1032806783914566,0.0870545506477356,0.12981797754764557,True,2000,4,0.004522658489879131,False,0.1175891207368574
12,VTA,subcortical,-0.053051434457302094,-0.12054769694805145,0.05008885636925697,False,2000,4,0.3971612407499331,False,1.0
13,NAcc,subcortical,0.025949742645025253,-0.03242494910955429,0.08346956223249435,False,2000,4,0.4995701398287974,False,1.0
14,caudate,subcortical,0.009002048522233963,-0.0493927076458931,0.05163152888417244,False,2000,4,0.7861063175036381,False,1.0
15,amygdala,subcortical,-0.021247370168566704,-0.0908297598361969,0.04833502322435379,False,2000,4,0.654010226659425,False,1.0
16,hippocampus,subcortical,0.013452867045998573,-0.09945748001337051,0.10655468702316284,False,2000,4,0.8369638537418865,False,1.0
17,putamen,subcortical,-0.022035345435142517,-0.05475044623017311,0.0198769923299551,False,2000,4,0.37261266114964264,False,1.0
18,MGB,auditory,-0.00816585123538971,-0.06976393610239029,0.08148477971553802,False,2000,4,0.8746285946718872,False,1.0
19,hypothalamus,subcortical,-0.0007120538502931595,-0.06363198161125183,0.06220787391066551,False,2000,4,0.9863346457899622,False,1.0
20,insula,cortical,0.022765755653381348,-0.00594453327357769,0.052873991429805756,False,2000,4,0.28566821216618765,False,1.0
21,IC,brainstem_gamma,0.04695684090256691,-0.007421708665788174,0.10078510642051697,False,2000,4,0.22861570288297056,False,1.0
22,AN,brainstem_gamma,-0.0349874421954155,-0.1499640941619873,0.08474655449390411,False,2000,4,,False,1.0
23,CN,brainstem_gamma,0.07600630074739456,0.02640463411808014,0.12206050753593445,True,2000,4,,False,1.0
24,SOC,brainstem_gamma,0.04668454825878143,-0.056502506136894226,0.10445776581764221,False,2000,4,,False,1.0
25,PAG,brainstem_gamma,0.014989741146564484,-0.04117328301072121,0.07744552195072174,False,2000,4,0.7143038730396811,False,1.0
