subject,region_idx,region,tier,encoder,D,n_clips,r
sub-001,0,A1_HG,auditory,mi_ram_26d,26,480,0.01793610118329525
sub-001,1,STG,auditory,mi_ram_26d,26,480,0.058114200830459595
sub-001,2,STS,auditory,mi_ram_26d,26,480,-0.016763856634497643
sub-001,3,IFG,cortical,mi_ram_26d,26,480,0.04541490226984024
sub-001,4,dlPFC,cortical,mi_ram_26d,26,480,-0.028052108362317085
sub-001,5,vmPFC,cortical,mi_ram_26d,26,480,0.07130736857652664
sub-001,6,OFC,cortical,mi_ram_26d,26,480,0.008035250939428806
sub-001,7,ACC,cortical,mi_ram_26d,26,480,-0.022602759301662445
sub-001,8,SMA,cortical,mi_ram_26d,26,480,-0.010085991583764553
sub-001,9,PMC,cortical,mi_ram_26d,26,480,0.012751374393701553
sub-001,10,AG,cortical,mi_ram_26d,26,480,-0.07873861491680145
sub-001,11,TP,cortical,mi_ram_26d,26,480,-0.02628834918141365
sub-001,12,VTA,subcortical,mi_ram_26d,26,480,-0.029812626540660858
sub-001,13,NAcc,subcortical,mi_ram_26d,26,480,-0.008665633387863636
sub-001,14,caudate,subcortical,mi_ram_26d,26,480,-0.07522754371166229
sub-001,15,amygdala,subcortical,mi_ram_26d,26,480,-0.10760264843702316
sub-001,16,hippocampus,subcortical,mi_ram_26d,26,480,-0.04023365303874016
sub-001,17,putamen,subcortical,mi_ram_26d,26,480,0.01804325357079506
sub-001,18,MGB,auditory,mi_ram_26d,26,480,-0.017037387937307358
sub-001,19,hypothalamus,subcortical,mi_ram_26d,26,480,-0.0961546003818512
sub-001,20,insula,cortical,mi_ram_26d,26,480,0.0762658342719078
sub-001,21,IC,brainstem_gamma,mi_ram_26d,26,480,0.04736946150660515
sub-001,22,AN,brainstem_gamma,mi_ram_26d,26,480,
sub-001,23,CN,brainstem_gamma,mi_ram_26d,26,480,
sub-001,24,SOC,brainstem_gamma,mi_ram_26d,26,480,
sub-001,25,PAG,brainstem_gamma,mi_ram_26d,26,480,0.0334896445274353
sub-001,0,A1_HG,auditory,mi_naive_26d,26,480,-0.0860605537891388
sub-001,1,STG,auditory,mi_naive_26d,26,480,-0.13606253266334534
sub-001,2,STS,auditory,mi_naive_26d,26,480,-0.031178681179881096
sub-001,3,IFG,cortical,mi_naive_26d,26,480,0.053778696805238724
sub-001,4,dlPFC,cortical,mi_naive_26d,26,480,0.04853243753314018
sub-001,5,vmPFC,cortical,mi_naive_26d,26,480,-0.10619641095399857
sub-001,6,OFC,cortical,mi_naive_26d,26,480,-0.10695172846317291
sub-001,7,ACC,cortical,mi_naive_26d,26,480,-0.030820241197943687
sub-001,8,SMA,cortical,mi_naive_26d,26,480,-0.049081914126873016
